image_path,important_labels
images/100.jpg,"[""asymmetry:выраженная"", ""palette:монотонная"", ""color_homogeneity:цвет умеренно неоднородный"", ""dominant_hue:красновато-коричневый"", ""color_distance_euclidean:сильный"", ""std_H_lesion:средняя"", ""delta_S_center_periphery:выше"", ""shape:округлая"", ""borders:умеренно неровные"", ""texture:преимущественно однородная""]"
images/1000.jpg,"[""asymmetry:слабая"", ""palette:монотонная"", ""color_homogeneity:цвет однородный"", ""rim:без выраженного ободка"", ""delta_H_center_periphery:оттенок_как_периферия"", ""delta_V_top_bottom:слабая"", ""shape:овальная"", ""solidity:высокая"", ""borders:умеренно неровные"", ""texture:умеренно неоднородная""]"
images/1001.jpg,"[""asymmetry:слабая"", ""palette:монотонная"", ""color_distance_euclidean:умеренный"", ""mean_S_lesion:средняя"", ""rim:без выраженного ободка"", ""delta_H_center_periphery:оттенок_как_периферия"", ""shape:овальная"", ""solidity:высокая"", ""borders:умеренно неровные"", ""texture_coarseness:гладкая""]"
images/1002.jpg,"[""asymmetry:умеренная"", ""contrast:выраженный"", ""dominant_hue:красный"", ""color_distance_euclidean:выраженный"", ""delta_V_center_periphery:значительно_темнее"", ""elongation:умеренно вытянутая"", ""shape:овальная"", ""borders:умеренно неровные"", ""texture:преимущественно однородная"", ""structure_order:средне упорядоченная""]"
images/1003.jpg,"[""asymmetry:умеренная"", ""contrast:умеренный"", ""dominant_hue:красный"", ""delta_S_center_periphery:умеренно_выше"", ""delta_V_top_bottom:сильная_низ_верх"", ""shape:овальная"", ""eccentricity:сильно_вытянутая"", ""borders:умеренно неровные"", ""texture:умеренно неоднородная"", ""structure_order:хаотичная""]"
images/1004.jpg,"[""asymmetry:умеренная"", ""palette:двухцветная"", ""dominant_hue:красный"", ""rim:тёмный ободок по краю"", ""delta_V_center_periphery:значительно_темнее"", ""shape:округлая"", ""solidity:высокая"", ""fractal_dimension:гладкая"", ""texture:умеренно неоднородная"", ""structure_order:средне упорядоченная""]"
images/1005.jpg,"[""asymmetry:умеренная"", ""contrast:низкий"", ""color_homogeneity:цвет умеренно неоднородный"", ""std_V_lesion:высокая"", ""rim:без выраженного ободка"", ""delta_S_center_periphery:умеренно_выше"", ""elongation:вытянутая"", ""shape:неправильная"", ""borders:фестончатые"", ""structure_order:хаотичная""]"
images/1006.jpg,"[""asymmetry:выраженная"", ""contrast:выраженный"", ""color_homogeneity:цвет умеренно неоднородный"", ""dominant_hue:красновато-коричневый"", ""rim:тёмный ободок по краю"", ""delta_V_center_periphery:значительно_темнее"", ""shape:округлая"", ""perimeter:средний"", ""borders:умеренно неровные"", ""texture:неоднородная""]"
images/1007.jpg,"[""asymmetry:выраженная"", ""contrast:выраженный"", ""palette:монотонная"", ""dominant_hue:красновато-коричневый"", ""rim:тёмный ободок по краю"", ""delta_V_center_periphery:значительно_темнее"", ""shape:округлая"", ""solidity:высокая"", ""borders:умеренно неровные"", ""structure_order:упорядоченная""]"
images/1008.jpg,"[""asymmetry:умеренная"", ""contrast:умеренный"", ""color_homogeneity:цвет умеренно неоднородный"", ""rim:тёмный ободок по краю"", ""delta_S_center_periphery:умеренно_выше"", ""delta_V_center_periphery:темнее"", ""shape:округлая"", ""fractal_dimension:умеренно_изрезанная"", ""texture:преимущественно однородная"", ""glcm_energy:средняя""]"
images/1009.jpg,"[""asymmetry:умеренная"", ""contrast:низкий"", ""color_homogeneity:цвет однородный"", ""rim:без выраженного ободка"", ""delta_V_center_periphery:равная"", ""shape:неправильная"", ""eccentricity:сильно_вытянутая"", ""fractal_dimension:умеренно_изрезанная"", ""texture:преимущественно однородная"", ""texture_coarseness:гладкая""]"
images/101.jpg,"[""asymmetry:умеренная"", ""color_homogeneity:цвет умеренно неоднородный"", ""dominant_hue:красный"", ""rim:тёмный ободок по краю"", ""delta_V_center_periphery:темнее"", ""shape:овальная"", ""eccentricity:умеренно_вытянутая"", ""fractal_dimension:умеренно_изрезанная"", ""texture:умеренно неоднородная"", ""structure_order:средне упорядоченная""]"
images/1010.jpg,"[""asymmetry:слабая"", ""color_homogeneity:цвет однородный"", ""dominant_hue:красновато-коричневый"", ""rim:без выраженного ободка"", ""delta_V_center_periphery:равная"", ""lobulation:лобуляции слабые"", ""shape:овальная"", ""borders:умеренно неровные"", ""texture:умеренно неоднородная"", ""structure_order:хаотичная""]"
